Model,Language,Modularity
FastText,Arabic,0.9743241966
FastText,Bulgarian,0.9798374602
FastText,Catalan,0.981644181
FastText,Croatian,0.9745801591
FastText,Czech,0.9762468312
FastText,Danish,0.9761951218
FastText,Dutch,0.9833592712
FastText,English,0.9434020851
FastText,Estonian,0.9770579035
FastText,Finnish,0.9853901539
FastText,French,0.9698474756
FastText,Greek,0.9788511809
FastText,Hebrew,0.9708463406
FastText,Hungarian,0.9802975223
FastText,Indonesian,0.9822929946
FastText,Italian,0.983254321
FastText,Macedonian,0.9777028749
FastText,Norwegian,0.9763816249
FastText,Polish,0.9793448595
FastText,Portuguese,0.9820051926
FastText,Romanian,0.974224362
FastText,Russian,0.9574721088
FastText,Slovak,0.9797046948
FastText,Slovenian,0.9773593788
FastText,Spanish,0.9809931582
FastText,Swedish,0.9541851241
FastText,Turkish,0.9837124682
FastText,Ukrainian,0.9817212436
FastText,Vietnamese,0.9722760433
MUSE,Arabic,0.9776005987
MUSE,Bulgarian,0.9788658194
MUSE,Catalan,0.9783703659
MUSE,Croatian,0.9796676265
MUSE,Czech,0.9816572606
MUSE,Danish,0.9774606129
MUSE,Dutch,0.9834716872
MUSE,English,0.9783325302
MUSE,Estonian,0.9745078133
MUSE,Finnish,0.9794921306
MUSE,French,0.9805795038
MUSE,Greek,0.9753416344
MUSE,Hebrew,0.6231611325
MUSE,Hungarian,0.979983807
MUSE,Indonesian,0.9814166633
MUSE,Italian,0.983446237
MUSE,Macedonian,0.9716431063
MUSE,Norwegian,0.9743837064
MUSE,Polish,0.9806219946
MUSE,Portuguese,0.9813986421
MUSE,Romanian,0.9759849397
MUSE,Russian,0.9792614649
MUSE,Slovak,0.9769504522
MUSE,Slovenian,0.9755320085
MUSE,Spanish,0.9817325478
MUSE,Swedish,0.9781885834
MUSE,Turkish,0.9823137836
MUSE,Ukrainian,0.9793873207
MUSE,Vietnamese,0.9821623259
subs2vec,Arabic,0.9521804516
subs2vec,Bulgarian,0.9849678483
subs2vec,Catalan,0.973680293
subs2vec,Croatian,0.9709324777
subs2vec,Czech,0.9666302626
subs2vec,Danish,0.9794626253
subs2vec,Dutch,0.9831168237
subs2vec,English,0.9630495361
subs2vec,Estonian,0.9667564509
subs2vec,Finnish,0.9570470914
subs2vec,French,0.9859017123
subs2vec,Greek,0.9717487571
subs2vec,Hebrew,0.9776181859
subs2vec,Hungarian,0.966808058
subs2vec,Indonesian,0.9813524333
subs2vec,Italian,0.9837548424
subs2vec,Macedonian,0.9762913516
subs2vec,Norwegian,0.9813690628
subs2vec,Polish,0.9753345521
subs2vec,Portuguese,0.9850439381
subs2vec,Romanian,0.9812684389
subs2vec,Russian,0.9453334306
subs2vec,Slovak,0.9802064968
subs2vec,Slovenian,0.9809005653
subs2vec,Spanish,0.9694587089
subs2vec,Swedish,0.9797968169
subs2vec,Turkish,0.9664124745
subs2vec,Ukrainian,0.9686653834
subs2vec,Vietnamese,0.9761254679