Model,Language,Cosine
FastText,Catalan,0.6606231541
FastText,Spanish,0.6532820755
FastText,Swedish,0.650303556
FastText,Dutch,0.6469337765
FastText,Italian,0.643739293
FastText,French,0.6406454213
FastText,Portuguese,0.6386516626
MUSE,Catalan,0.6261237418
MUSE,Spanish,0.6233659137
FastText,Norwegian,0.620163071
FastText,Hungarian,0.6180886327
FastText,Romanian,0.6148646473
FastText,Russian,0.6139591674
MUSE,French,0.613254152
MUSE,Portuguese,0.6105034229
MUSE,Italian,0.6097516338
FastText,Indonesian,0.6070873441
FastText,Finnish,0.6027149626
FastText,Polish,0.600444934
FastText,Danish,0.600050783
FastText,Czech,0.599205934
MUSE,Dutch,0.5959490255
FastText,Bulgarian,0.5956675626
FastText,Croatian,0.5904891448
MUSE,Indonesian,0.5854349662
subs2vec,Romanian,0.5844780618
MUSE,Norwegian,0.5786032646
FastText,Estonian,0.5782531206
FastText,Greek,0.5755934599
FastText,Macedonian,0.5745352388
FastText,Turkish,0.5727682991
subs2vec,Dutch,0.5720939032
FastText,Ukrainian,0.5716673907
subs2vec,Italian,0.5684804613
MUSE,Swedish,0.5672119599
subs2vec,French,0.5669473788
FastText,Vietnamese,0.5664651258
FastText,Slovenian,0.5650606383
subs2vec,Croatian,0.5626451849
FastText,Slovak,0.5564337455
subs2vec,Portuguese,0.555580635
subs2vec,Hungarian,0.5544060049
FastText,Hebrew,0.5535987893
MUSE,Danish,0.5535330195
FastText,Arabic,0.5523455816
subs2vec,Czech,0.5502384641
MUSE,Romanian,0.5498957299
subs2vec,Bulgarian,0.5482998039
subs2vec,Turkish,0.5415122046
MUSE,Hungarian,0.5391177441
subs2vec,Vietnamese,0.5281850278
subs2vec,Polish,0.5260923817
subs2vec,Swedish,0.5168952479
MUSE,Vietnamese,0.5128280257
subs2vec,Danish,0.5115659407
MUSE,Turkish,0.5077981773
subs2vec,Slovenian,0.5073163369
subs2vec,Hebrew,0.5061545859
subs2vec,Indonesian,0.5027315344
MUSE,Macedonian,0.5016268687
MUSE,Czech,0.5006559307
MUSE,Russian,0.4995717768
MUSE,Bulgarian,0.4963783758
subs2vec,Norwegian,0.4917566138
MUSE,Polish,0.4896327711
subs2vec,Ukrainian,0.4862121549
subs2vec,Catalan,0.4836688927
MUSE,Greek,0.4810760461
MUSE,Finnish,0.4806013948
MUSE,Hebrew,0.4804520634
MUSE,Croatian,0.4725585863
subs2vec,Slovak,0.463784577
MUSE,Slovenian,0.4586626892
MUSE,Estonian,0.4566719615
MUSE,Ukrainian,0.4456916556
MUSE,Slovak,0.4449036404
subs2vec,Macedonian,0.4430135392
MUSE,Arabic,0.442450695
subs2vec,Estonian,0.3927705727
subs2vec,Spanish,0.04880243599
subs2vec,Finnish,0.03430607455
subs2vec,Greek,0.03185767984
subs2vec,Arabic,0.03118704705
subs2vec,Russian,0.02646824327