Model,Language,Cosine
FastText,Arabic,0.5783319064
FastText,Bulgarian,0.6046584613
FastText,Catalan,0.6697250293
FastText,Croatian,0.6018031762
FastText,Czech,0.6186873274
FastText,Danish,0.6149153101
FastText,Dutch,0.6389039365
FastText,Estonian,0.5811035649
FastText,Finnish,0.5961946
FastText,French,0.6515074385
FastText,Greek,0.6045436468
FastText,Hebrew,0.5755599639
FastText,Hungarian,0.6153626849
FastText,Indonesian,0.5944616594
FastText,Italian,0.655906124
FastText,Macedonian,0.5874142842
FastText,Norwegian,0.6341524575
FastText,Polish,0.6142045796
FastText,Portuguese,0.6529255306
FastText,Romanian,0.6335727257
FastText,Russian,0.6256044615
FastText,Slovak,0.5847122803
FastText,Slovenian,0.5844456145
FastText,Spanish,0.6570529291
FastText,Swedish,0.6223639388
FastText,Turkish,0.5778323251
FastText,Ukrainian,0.5844795163
FastText,Vietnamese,0.6105354746
MUSE,Arabic,0.5627557279
MUSE,Bulgarian,0.580019566
MUSE,Catalan,0.6435767535
MUSE,Croatian,0.559839486
MUSE,Czech,0.6051398307
MUSE,Danish,0.5864275103
MUSE,Dutch,0.6210851082
MUSE,Estonian,0.5686352316
MUSE,Finnish,0.586750483
MUSE,French,0.6286207852
MUSE,Greek,0.5883654499
MUSE,Hebrew,0.5559818907
MUSE,Hungarian,0.6060909921
MUSE,Indonesian,0.5589366252
MUSE,Italian,0.6391486343
MUSE,Macedonian,0.5660204137
MUSE,Norwegian,0.5897396274
MUSE,Polish,0.6019496152
MUSE,Portuguese,0.6426308511
MUSE,Romanian,0.6054319809
MUSE,Russian,0.6048029564
MUSE,Slovak,0.5668911594
MUSE,Slovenian,0.5578653774
MUSE,Spanish,0.6490352234
MUSE,Swedish,0.5491718197
MUSE,Turkish,0.5394422154
MUSE,Ukrainian,0.5597300523
MUSE,Vietnamese,0.4495880194
subs2vec,Arabic,0.3637065626
subs2vec,Bulgarian,0.5869988544
subs2vec,Catalan,0.4692094334
subs2vec,Croatian,0.5749025847
subs2vec,Czech,0.578098607
subs2vec,Danish,0.5497251221
subs2vec,Dutch,0.5879114947
subs2vec,Estonian,0.4742286389
subs2vec,Finnish,0.3707678891
subs2vec,French,0.5891079995
subs2vec,Greek,0.3719092576
subs2vec,Hebrew,0.5578868606
subs2vec,Hungarian,0.5694831064
subs2vec,Indonesian,0.5201420648
subs2vec,Italian,0.5875035598
subs2vec,Macedonian,0.4911201675
subs2vec,Norwegian,0.5239898009
subs2vec,Polish,0.5667417542
subs2vec,Portuguese,0.5919223597
subs2vec,Romanian,0.6147891964
subs2vec,Russian,0.3702683492
subs2vec,Slovak,0.5248907632
subs2vec,Slovenian,0.5401324602
subs2vec,Spanish,0.3596178655
subs2vec,Swedish,0.5448277597
subs2vec,Turkish,0.5381639073
subs2vec,Ukrainian,0.4390387194
subs2vec,Vietnamese,0.4697097446