Model,Language,Precision
FastText,Arabic,0.763348744
FastText,Bulgarian,0.7714896909
FastText,Catalan,0.7742086779
FastText,Croatian,0.7677412447
FastText,Czech,0.7931870812
FastText,Danish,0.7813069819
FastText,Dutch,0.7742128827
FastText,English,0.7917228164
FastText,Estonian,0.7724251135
FastText,Finnish,0.772333931
FastText,French,0.784581553
FastText,Greek,0.7830277282
FastText,Hebrew,0.7761954659
FastText,Hungarian,0.7972427698
FastText,Indonesian,0.7911590715
FastText,Italian,0.79543841
MUSE,Arabic,0.7691472101
MUSE,Bulgarian,0.7488560705
MUSE,Catalan,0.7545668759
MUSE,Croatian,0.7551853148
MUSE,Czech,0.7603101619
MUSE,Danish,0.7650302036
MUSE,Dutch,0.7749339314
MUSE,English,0.8093964338
MUSE,Estonian,0.7578030234
MUSE,Finnish,0.7643962351
MUSE,French,0.7663300735
MUSE,Greek,0.7492962514
MUSE,Hebrew,0.7663226472
MUSE,Hungarian,0.7789635676
MUSE,Indonesian,0.7738860885
MUSE,Italian,0.7732348065
subs2vec,Arabic,0.763348744
subs2vec,Bulgarian,0.7714896909
subs2vec,Catalan,0.7742086779
subs2vec,Croatian,0.7677412447
subs2vec,Czech,0.7931870812
subs2vec,Danish,0.7813069819
subs2vec,Dutch,0.7742128827
subs2vec,English,0.7917228164
subs2vec,Estonian,0.7724251135
subs2vec,Finnish,0.772333931
subs2vec,French,0.784581553
subs2vec,Greek,0.7830277282
subs2vec,Hebrew,0.7761954659
subs2vec,Hungarian,0.7972427698
subs2vec,Indonesian,0.7911590715
subs2vec,Italian,0.79543841