Model,Language,Loss
FastText,Arabic,1.066386111
FastText,Bulgarian,1.121711946
FastText,Catalan,1.168510066
FastText,Croatian,1.141586399
FastText,Czech,1.098450657
FastText,Danish,1.170348337
FastText,Dutch,1.105392476
FastText,English,1.054371203
FastText,Estonian,1.148557825
FastText,Finnish,1.116784505
FastText,French,1.124957857
FastText,Greek,1.137418952
FastText,Hebrew,1.455933297
FastText,Hungarian,1.01897611
FastText,Indonesian,1.152252261
FastText,Italian,0.95944743
FastText,Macedonian,1.124030403
FastText,Norwegian,1.127850809
FastText,Polish,1.087025659
FastText,Portuguese,1.119440911
FastText,Romanian,1.122595066
FastText,Russian,1.175778617
FastText,Slovak,1.159817849
FastText,Slovenian,1.146077699
FastText,Spanish,0.9376684976
FastText,Swedish,1.163990163
FastText,Turkish,1.131895795
FastText,Ukrainian,1.076827858
FastText,Vietnamese,1.311145268
MUSE,Arabic,1.29635488
MUSE,Bulgarian,1.414669547
MUSE,Catalan,1.380156224
MUSE,Croatian,1.421910754
MUSE,Czech,1.473581932
MUSE,Danish,1.349702026
MUSE,Dutch,1.285662077
MUSE,English,1.123697897
MUSE,Estonian,1.47951063
MUSE,Finnish,1.481988698
MUSE,French,1.279333259
MUSE,Greek,1.428700989
MUSE,Hebrew,1.526000113
MUSE,Hungarian,1.407430692
MUSE,Indonesian,1.35254345
MUSE,Italian,1.171894943
MUSE,Macedonian,1.379262585
MUSE,Norwegian,1.417960918
MUSE,Polish,1.446372622
MUSE,Portuguese,1.305065253
MUSE,Romanian,1.392853696
MUSE,Russian,1.451146958
MUSE,Slovak,1.434777009
MUSE,Slovenian,1.396430263
MUSE,Spanish,1.10237129
MUSE,Swedish,1.39595402
MUSE,Turkish,1.423234852
MUSE,Ukrainian,1.391836035
MUSE,Vietnamese,1.403988505
subs2vec,Arabic,1.555481633
subs2vec,Bulgarian,1.111817109
subs2vec,Catalan,1.387363955
subs2vec,Croatian,1.107439699
subs2vec,Czech,1.059037993
subs2vec,Danish,1.176872786
subs2vec,Dutch,1.089821931
subs2vec,English,0.7810082393
subs2vec,Estonian,1.331299711
subs2vec,Finnish,1.555481633
subs2vec,French,1.01160956
subs2vec,Greek,1.555481633
subs2vec,Hebrew,1.435040098
subs2vec,Hungarian,1.069820974
subs2vec,Indonesian,1.123964246
subs2vec,Italian,0.8299870735
subs2vec,Macedonian,1.274754705
subs2vec,Norwegian,1.230659462
subs2vec,Polish,1.038746265
subs2vec,Portuguese,1.090013573
subs2vec,Romanian,1.036805372
subs2vec,Russian,1.555481633
subs2vec,Slovak,1.208305651
subs2vec,Slovenian,1.162028952
subs2vec,Spanish,1.467183801
subs2vec,Swedish,1.125851634
subs2vec,Turkish,1.090532586
subs2vec,Ukrainian,1.384058514
subs2vec,Vietnamese,1.266364003